"participant","experiment","phase","trial_type","trial_num","block_num","category","codename","cued_part","cued_type","part_attempts_total","part_first_attempt_corr","target_hex","target_l","target_a","target_b","color_response_bias","color_response_correct","color_response_type"
1,1,"main","part",46,3,"A","denor","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",46,3,"B","motar","leg","shared",NA,NA,"#AE84A4",60,22,-11,1,0,"attract"
1,1,"main","part",47,3,"B","gavan","leg","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",47,3,"B","volar","back","unique",NA,NA,"#878EBC",60,8,-25,1,0,"attract"
1,1,"main","part",48,3,"B","sorex","back","shared",4,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",48,3,"A","praxa","leg","unique",NA,NA,"#CC7A78",60,31.89949494,15.10050506,0,1,"target"
1,1,"main","part",49,4,"A","nodon","head","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",49,4,"A","praxa","head","shared",NA,NA,"#AD8A65",60,8,25,1,0,"attract"
1,1,"main","part",50,4,"A","praxa","leg","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",50,4,"B","volar","back","unique",NA,NA,"#878EBC",60,8,-25,0,1,"target"
1,1,"main","part",51,4,"B","motar","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",51,4,"A","denor","back","shared",NA,NA,"#AF8877",60,12.10050506,15.10050506,0,1,"target"
1,1,"main","part",52,4,"B","motar","back","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",52,4,"B","gavan","head","shared",NA,NA,"#AA7FCE",60,31.89949494,-34.89949494,0,0,"orthogonal"
1,1,"main","part",53,4,"B","sorex","head","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",53,4,"A","funda","back","unique",NA,NA,"#B78753",60,12.10050506,34.89949494,0,1,"target"
1,1,"main","part",54,4,"B","volar","back","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",54,4,"A","funda","leg","shared",NA,NA,"#D37955",60,31.89949494,34.89949494,1,0,"attract"
1,1,"main","part",55,4,"A","denor","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",55,4,"A","nodon","head","unique",NA,NA,"#BC827E",60,22,11,1,0,"attract"
1,1,"main","part",56,4,"B","volar","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",56,4,"B","gavan","leg","unique",NA,NA,"#BB7ABD",60,36,-25,1,0,"attract"
1,1,"main","part",57,4,"A","denor","back","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",57,4,"B","motar","tail","unique",NA,NA,"#828DCE",60,12.10050506,-34.89949494,1,0,"attract"
1,1,"main","part",58,4,"B","gavan","head","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",58,4,"A","nodon","tail","shared",NA,NA,"#D67667",60,36,25,1,0,"attract"
1,1,"main","part",59,4,"A","funda","leg","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",59,4,"B","sorex","tail","shared",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,1,0,"attract"
1,1,"main","part",60,4,"A","nodon","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",60,4,"B","volar","leg","shared",NA,NA,"#AE84A4",60,22,-11,1,0,"attract"
1,1,"main","part",61,4,"A","praxa","head","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",61,4,"B","motar","back","shared",NA,NA,"#9287D5",60,22,-39,-1,0,"repel"
1,1,"main","part",62,4,"B","gavan","leg","unique",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",62,4,"B","sorex","head","unique",NA,NA,"#BC7CAC",60,31.89949494,-15.10050506,1,0,"attract"
1,1,"main","part",63,4,"A","funda","back","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",63,4,"A","praxa","leg","unique",NA,NA,"#CC7A78",60,31.89949494,15.10050506,1,0,"attract"
1,1,"main","part",64,4,"B","sorex","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",64,4,"A","denor","tail","unique",NA,NA,"#C6804C",60,22,39,1,0,"attract"
